Pixels,Value
0, 0.0338649691214928
0.1, 0.0338649691214928
0.2, 0.0338649691214928
0.3, 0.0338649691214928
0.4, 0.0338649691214928
0.5, 0.0338649691214928
0.6, 0.0338649691214928
0.7, 0.0563031081713163
0.8, 0.0563031081713163
0.9, 0.0185945689348074
1, 0.0185945689348074
1.1, 0.0185945689348074
1.2, 0.0185945689348074
1.3, 0.0185945689348074
1.4, 0.0185945689348074
1.5, 0.0185945689348074
1.6, 0.0185945689348074
1.7, 0.0185945689348074
1.8, 0.0185945689348074
1.9, 0.0734433532788203
2, 0.0734433532788203
2.1, 0.0734433532788203
2.2, 0.0734433532788203
2.3, 0.0734433532788203
2.4, 0.0734433532788203
2.5, 0.0734433532788203
2.6, 0.01049190761126
2.7, 0.01049190761126
2.8, 0.01049190761126
2.9, 0.01049190761126
3, 0.01049190761126
3.1, 0.0717812689047593
3.2, 0.0717812689047593
3.3, 0.0717812689047593
3.4, 0.0717812689047593
3.5, 0.0717812689047593
3.6, 0.0717812689047593
3.7, 0.0717812689047593
3.8, 0.0717812689047593
3.9, 0.0717812689047593
4, 0.0717812689047593
4.1, 0.0717812689047593
4.2, 0.0717812689047593
4.3, 0.144497460269928
4.4, 0.069184262070289
4.5, 0.069184262070289
4.6, 0.069184262070289
4.7, 0.069184262070289
4.8, 0.069184262070289
4.9, 0.069184262070289
5, 0.069184262070289
5.1, 0.069184262070289
5.2, 0.069184262070289
5.3, 0.069184262070289
5.4, 0.069184262070289
5.5, 0.069184262070289
5.6, 0.326080178136092
5.7, 0.326080178136092
5.8, 0.326080178136092
5.9, 0.326080178136092
6, 0.326080178136092
6.1, 0.612478091841478
6.2, 0.612478091841478
6.3, 0.612478091841478
6.4, 0.612478091841478
6.5, 0.612478091841478
6.6, 0.612478091841478
6.7, 0.612478091841478
6.8, 1.70758393380092
6.9, 1.70758393380092
7, 1.70758393380092
7.1, 1.70758393380092
7.2, 1.70758393380092
7.3, 1.70758393380092
7.4, 1.70758393380092
7.5, 1.70758393380092
7.6, 1.70758393380092
7.7, 1.70758393380092
7.8, 2.35184938929631
7.9, 2.35184938929631
8, 3.85489306481435
8.1, 3.85489306481435
8.2, 3.85489306481435
8.3, 3.85489306481435
8.4, 3.85489306481435
8.5, 3.85489306481435
8.6, 3.85489306481435
8.7, 3.85489306481435
8.8, 3.85489306481435
8.9, 3.85489306481435
9, 3.85489306481435
9.1, 3.85489306481435
9.2, 3.85489306481435
9.3, 4.83012107129464
9.4, 4.83012107129464
9.5, 4.72530587545542
9.6, 4.72530587545542
9.7, 4.72530587545542
9.8, 4.72530587545542
9.9, 4.72530587545542
10, 4.72530587545542
10.1, 4.72530587545542
10.2, 4.72530587545542
10.3, 4.72530587545542
10.4, 4.72530587545542
10.5, 4.98822684737719
10.6, 4.98822684737719
10.7, 4.98822684737719
10.8, 4.98822684737719
10.9, 4.98822684737719
11, 4.98822684737719
11.1, 4.98822684737719
11.2, 4.98822684737719
11.3, 5.04494547664202
11.4, 5.04494547664202
11.5, 5.04494547664202
11.6, 5.04494547664202
11.7, 5.09906709907238
11.8, 5.09906709907238
11.9, 5.09906709907238
12, 5.09906709907238
12.1, 5.09906709907238
12.2, 5.09906709907238
12.3, 5.09906709907238
12.4, 5.09906709907238
12.5, 5.09906709907238
12.6, 5.09906709907238
12.7, 5.09906709907238
12.8, 5.09906709907238
12.9, 4.380215607291
13, 3.13001651717699
13.1, 3.13001651717699
13.2, 3.13001651717699
13.3, 3.13001651717699
13.4, 3.13001651717699
13.5, 3.13001651717699
13.6, 3.13001651717699
13.7, 3.13001651717699
13.8, 3.13001651717699
13.9, 3.13001651717699
14, 3.13001651717699
14.1, 3.13001651717699
14.2, 1.75443393709476
14.3, 1.75443393709476
14.4, 1.75443393709476
14.5, 1.75443393709476
14.6, 1.75443393709476
14.7, 0.565731968821012
14.8, 0.565731968821012
14.9, 0.565731968821012
15, 0.565731968821012
15.1, 0.565731968821012
15.2, 0.565731968821012
15.3, 0.565731968821012
15.4, 0.180024513765482
15.5, 0.180024513765482
15.6, 0.180024513765482
15.7, 0.180024513765482
15.8, 0.180024513765482
15.9, 0.180024513765482
16, 0.180024513765482
16.1, 0.180024513765482
16.2, 0.180024513765482
16.3, 0.180024513765482
16.4, 0
16.5, 0
16.6, 0
16.7, 0
16.8, 0
16.9, 0
17, 0
17.1, 0
17.2, 0
17.3, 0
17.4, 0
17.5, 0
17.6, 0
17.7, 0
17.8, 0.0509013339556181
17.9, 0.0509013339556181
18, 0.0509013339556181
18.1, 0.0509013339556181
18.2, 0
18.3, 0
18.4, 0
18.5, 0
18.6, 0
18.7, 0
18.8, 0
18.9, 0
19, 0
19.1, 0.0369813773228572
19.2, 0.0369813773228572
19.3, 0.0369813773228572
19.4, 0.0369813773228572
19.5, 0.0369813773228572
19.6, 0.0369813773228572
19.7, 0.0369813773228572
19.8, 0.0369813773228572
19.9, 0
20, 0
20.1, 0
20.2, 0
20.3, 0
20.4, 0
20.5, 0
20.6, 0
20.7, 0
20.8, 0
20.9, 0
21, 0
21.1, 0
21.2, 0
21.3, 0
21.4, 0
21.5, 0.0134005552658668
21.6, 0
21.7, 0
21.8, 0
21.9, 0
22, 0
22.1, 0
22.2, 0
22.3, 0
22.4, 0
22.5, 0
22.6, 0
22.7, 0
22.8, 0
22.9, 0
23, 0
23.1, 0
23.2, 0
23.3, 0
23.4, 0
23.5, 0
23.6, 0
23.7, 0
23.8, 0
23.9, 0
24, 0
24.1, 0
24.2, 0
24.3, 0
24.4, 0
24.5, 0
24.6, 0
24.7, 0
24.8, 0
24.9, 0
25, 0
25.1, 0
25.2, 0
25.3, 0
25.4, 0
25.5, 0
25.6, 0
25.7, 0
25.8, 0
25.9, 0
26, 0
26.1, 0
26.2, 0
26.3, 0
26.4, 0.0117384708918058
26.5, 0.0117384708918058
26.6, 0.0117384708918058
26.7, 0.0117384708918058
26.8, 0
26.9, 0
27, 0
27.1, 0
27.2, 0
27.3, 0
27.4, 0
27.5, 0
27.6, 0
27.7, 0
27.8, 0
27.9, 0
28, 0
28.1, 0
28.2, 0
28.3, 0
28.4, 0
28.5, 0
28.6, 0
28.7, 0
28.8, 0
28.9, 0
29, 0
29.1, 0
29.2, 0
29.3, 0
29.4, 0
29.5, 0
29.6, 0
29.7, 0
29.8, 0
29.9, 0
30, 0
30.1, 0
30.2, 0
30.3, 0
30.4, 0
30.5, 0
30.6, 0
30.7, 0
30.8, 0
30.9, 0
31, 0
31.1, 0
31.2, 0
31.3, 0
31.4, 0
31.5, 0
31.6, 0
31.7, 0
31.8, 0
31.9, 0
32, 0
32.1, 0
32.2, 0
32.3, 0
32.4, 0
32.5, 0
32.6, 0
32.7, 0
32.8, 0
32.9, 0
33, 0
33.1, 0
33.2, 0
33.3, 0
33.4, 0
33.5, 0
33.6, 0
33.7, 0
33.8, 0
33.9, 0
34, 0
34.1, 0
34.2, 0
34.3, 0
34.4, 0
34.5, 0
34.6, 0
34.7, 0
34.8, 0
34.9, 0
35, 0
35.1, 0
35.2, 0
35.3, 0
35.4, 0
35.5, 0
35.6, 0
35.7, 0
35.8, 0
35.9, 0
36, 0
36.1, 0
36.2, 0
36.3, 0
36.4, 0
36.5, 0
36.6, 0
36.7, 0
36.8, 0
36.9, 0
37, 0
37.1, 0
37.2, 0
37.3, 0
37.4, 0
37.5, 0
37.6, 0
37.7, 0
37.8, 0
37.9, 0
38, 0
38.1, 0
38.2, 0
38.3, 0
38.4, 0
38.5, 0
38.6, 0
38.7, 0
38.8, 0
38.9, 0
39, 0
39.1, 0
39.2, 0
39.3, 0
39.4, 0
39.5, 0
39.6, 0
39.7, 0
39.8, 0
39.9, 0
40, 0
40.1, 0
40.2, 0
40.3, 0
40.4, 0
40.5, 0
40.6, 0
40.7, 0
40.8, 0
40.9, 0
41, 0
41.1, 0
41.2, 0
41.3, 0
41.4, 0
41.5, 0
41.6, 0
41.7, 0
41.8, 0
41.9, 0
42, 0
42.1, 0
42.2, 0
42.3, 0
