Pixels,Value
0, 0
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
1, 0
1.1, 0
1.2, 0
1.3, 0
1.4, 0
1.5, 0
1.6, 0
1.7, 0
1.8, 0
1.9, 0
2, 0
2.1, 0
2.2, 0
2.3, 0
2.4, 0
2.5, 0
2.6, 0
2.7, 0
2.8, 0
2.9, 0
3, 0
3.1, 0
3.2, 0
3.3, 0
3.4, 0
3.5, 0
3.6, 0
3.7, 0
3.8, 0
3.9, 0
4, 0
4.1, 0
4.2, 0
4.3, 0
4.4, 0
4.5, 0
4.6, 0
4.7, 0
4.8, 0
4.9, 0
5, 0
5.1, 0.151769079406445
5.2, 0.965567141056061
5.3, 0.965567141056061
5.4, 0.965567141056061
5.5, 0.965567141056061
5.6, 0.965567141056061
5.7, 0.965567141056061
5.8, 0.965567141056061
5.9, 0.965567141056061
6, 0.965567141056061
6.1, 0.965567141056061
6.2, 0.965567141056061
6.3, 0.965567141056061
6.4, 2.63211836687235
6.5, 2.63211836687235
6.6, 2.63211836687235
6.7, 2.63211836687235
6.8, 2.63211836687235
6.9, 2.63211836687235
7, 2.63211836687235
7.1, 3.52216454918201
7.2, 3.52216454918201
7.3, 3.52216454918201
7.4, 3.52216454918201
7.5, 3.52216454918201
7.6, 5.06883793951915
7.7, 5.06883793951915
7.8, 5.06883793951915
7.9, 5.06883793951915
8, 5.06883793951915
8.1, 5.06883793951915
8.2, 5.06883793951915
8.3, 5.06883793951915
8.4, 5.06883793951915
8.5, 5.06883793951915
8.6, 5.06883793951915
8.7, 5.29965990696687
8.8, 5.29965990696687
8.9, 5.29965990696687
9, 5.29965990696687
9.1, 5.13023118108603
9.2, 5.13023118108603
9.3, 5.13023118108603
9.4, 5.13023118108603
9.5, 5.13023118108603
9.6, 5.13023118108603
9.7, 5.13023118108603
9.8, 5.13023118108603
9.9, 4.96152961711884
10, 4.96152961711884
10.1, 4.96152961711884
10.2, 4.96152961711884
10.3, 4.96152961711884
10.4, 4.96152961711884
10.5, 4.96152961711884
10.6, 4.96152961711884
10.7, 4.96152961711884
10.8, 4.96152961711884
10.9, 4.96152961711884
11, 5.32666877804536
11.1, 5.43117233306445
11.2, 5.43117233306445
11.3, 5.43117233306445
11.4, 5.43117233306445
11.5, 5.43117233306445
11.6, 5.43117233306445
11.7, 5.43117233306445
11.8, 5.43117233306445
11.9, 5.43117233306445
12, 5.43117233306445
12.1, 5.43117233306445
12.2, 4.63202138996124
12.3, 4.63202138996124
12.4, 4.63202138996124
12.5, 4.63202138996124
12.6, 4.63202138996124
12.7, 4.63202138996124
12.8, 4.63202138996124
12.9, 4.63202138996124
13, 4.63202138996124
13.1, 3.4074807273718
13.2, 3.4074807273718
13.3, 1.38721717070066
13.4, 1.38721717070066
13.5, 1.38721717070066
